Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2022-01-24 08:05:17,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.2335340000,64.23,EUR,1.00000,,"EUR",15.00,"EUR",,,,,,,,EOF1760080465,,
Market buy,2022-01-24 08:05:17,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",0.5863910000,25.58,EUR,1.00000,,"EUR",15.00,"EUR",,,,,,,,EOF1760080475,,
Market buy,2022-01-24 08:05:17,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.1024780000,165.49,USD,1.13211,,"EUR",15.00,"EUR",,,,,,,,EOF1760080472,0.02,"EUR"
Market buy,2022-01-24 08:46:29,IE00BD09ZW40,NFL2,"Leverage Shares 2x Netflix",0.2970010000,38.08,USD,1.13211,,"EUR",10.00,"EUR",,,,,,,,EOF1760086283,0.01,"EUR"
Deposit,2022-01-24 17:11:16,,,,,,,,,,200.00,"EUR",,,201.40,"EUR",-1.40,"EUR","Transaction ID: 1526430442751536",e308ba05-18a7-4ad1-9dfb-30da91c14a8c,,
Market buy,2022-01-24 17:11:36,US4581401001,INTC,"Intel",0.0898900000,50.22,USD,1.13139,,"EUR",4.00,"EUR",,,,,,,,EOF1762239214,0.01,"EUR"
Market buy,2022-01-24 17:11:36,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.0561630000,120.67,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239219,0.01,"EUR"
Market buy,2022-01-24 17:11:36,CA1366351098,CSIQ,"Canadian Solar",0.1906370000,23.68,USD,1.13139,,"EUR",4.00,"EUR",,,,,,,,EOF1762239226,0.01,"EUR"
Market buy,2022-01-24 17:11:37,BMG162581083,BEP,"Brookfield Renewable Partners",0.2181260000,31.07,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239315,0.01,"EUR"
Market buy,2022-01-24 17:11:37,US87918A1051,TDOC,"Teladoc Health",0.0666800000,67.70,USD,1.13138,,"EUR",4.00,"EUR",,,,,,,,EOF1762239318,0.01,"EUR"
Market buy,2022-01-24 17:11:37,US88579Y1010,MMM,"3M",0.0265578000,169.98,USD,1.13140,,"EUR",4.00,"EUR",,,,,,,,EOF1762239333,0.01,"EUR"
Market buy,2022-01-24 17:11:38,US0126531013,ALB,"Albemarle",0.0339947000,199.36,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239346,0.01,"EUR"
