Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-11-05 12:59:30.157,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23005897851,30.0000000000,2.66,USD,1.00000,,"USD",79.80,"USD",,,,,,,,
Market buy,2024-11-05 13:34:06.91,US00853E4044,AGFY,"Agrify",,EOF23050050172,10.0000000000,4.50,USD,1.00000,,"USD",45.00,"USD",,,,,,,,
Market sell,2024-11-05 13:52:28.583,US00853E4044,AGFY,"Agrify",,EOF23050051888,5.0000000000,5.56,USD,1.00000,5.30,"USD",27.80,"USD",,,,,,,,
Market sell,2024-11-05 13:53:29.374,US00853E4044,AGFY,"Agrify",,EOF23050051955,3.0000000000,6.44,USD,1.00000,5.82,"USD",19.32,"USD",,,,,,,,
Market sell,2024-11-05 13:54:06.698,US00853E4044,AGFY,"Agrify",,EOF23050052014,2.0000000000,6.52,USD,1.00000,4.04,"USD",13.04,"USD",,,,,,,,
Market sell,2024-11-05 14:03:12.04,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23050052779,10.0000000000,2.91,USD,1.00000,2.50,"USD",29.10,"USD",,,,,,,,
Market sell,2024-11-05 14:04:31.552,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23050052977,15.0000000000,3.27,USD,1.00000,9.15,"USD",49.05,"USD",,,,,,,,
Market sell,2024-11-05 14:05:17.785,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23050053062,5.0000000000,3.06,USD,1.00000,2.00,"USD",15.30,"USD",,,,,,,,
Limit buy,2024-11-05 14:33:29.651,US67113Y6032,NUWE,"Nuwellis",,EOF23050067881,19.0000000000,1.90,USD,1.00000,,"USD",36.10,"USD",,,,,,,,
Market buy,2024-11-05 14:46:06.495,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23050080358,20.0000000000,3.05,USD,1.00000,,"USD",61.00,"USD",,,,,,,,
Market buy,2024-11-05 15:18:28.741,US92719V1008,VMEO,"Vimeo",,EOF23050091304,5.0000000000,6.99,USD,1.00000,,"USD",34.95,"USD",,,,,,,,
Market sell,2024-11-05 15:26:11.134,US92719V1008,VMEO,"Vimeo",,EOF23050092742,5.0000000000,6.92,USD,1.00000,-0.35,"USD",34.60,"USD",,,,,,,,
Market sell,2024-11-05 15:27:27.64,US00788A2042,ADN,"Advent Technologies",,EOF23050093032,40.0000000000,3.55,USD,1.00000,1.60,"USD",142.00,"USD",,,,,,,,
Market sell,2024-11-05 15:32:10.2,US00788A2042,ADN,"Advent Technologies",,EOF23050093677,30.0000000000,3.63,USD,1.00000,3.60,"USD",108.90,"USD",,,,,,,,
Market buy,2024-11-05 17:06:46.443,US64136E1029,NEUP,"Neuphoria Therapeutics",,EOF23052457400,300.0000000000,0.58,USD,1.00000,,"USD",174.00,"USD",,,,,,,,
Market buy,2024-11-05 17:09:15.139,US64136E1029,NEUP,"Neuphoria Therapeutics",,EOF23052457671,190.0000000000,0.57,USD,1.00000,,"USD",107.96,"USD",,,,,,,,
Market sell,2024-11-05 17:14:50.714,US64136E1029,NEUP,"Neuphoria Therapeutics",,EOF23052458104,360.0000000000,0.51,USD,1.00000,-23.55,"USD",183.60,"USD",,,,,,,,
Market sell,2024-11-05 17:15:28.984,US64136E1029,NEUP,"Neuphoria Therapeutics",,EOF23052458138,130.0000000000,0.52,USD,1.00000,-6.72,"USD",68.09,"USD",,,,,,,,
Market buy,2024-11-05 19:24:55.255,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052468867,8.5000000000,14.52,USD,1.00000,,"USD",123.42,"USD",,,,,,,,
Market sell,2024-11-05 19:27:40.742,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052469137,8.5000000000,13.70,USD,1.00000,-6.97,"USD",116.45,"USD",,,,,,,,
Market buy,2024-11-05 19:32:54.382,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052469634,15.0000000000,14.65,USD,1.00000,,"USD",219.75,"USD",,,,,,,,
Market sell,2024-11-05 19:34:12.281,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052469724,10.0000000000,14.92,USD,1.00000,2.70,"USD",149.20,"USD",,,,,,,,
Market sell,2024-11-05 19:35:03.866,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052469806,3.9650000000,15.82,USD,1.00000,4.64,"USD",62.73,"USD",,,,,,,,
Market sell,2024-11-05 19:35:04.812,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052469808,1.0350000000,15.84,USD,1.00000,1.23,"USD",16.39,"USD",,,,,,,,
Market buy,2024-11-05 19:48:43.493,AU0000288284,VSTE,"Vast Solar",,EOF23052471473,42.0000000000,5.05,USD,1.00000,,"USD",212.10,"USD",,,,,,,,
Market buy,2024-11-05 19:50:10.768,AU0000288284,VSTE,"Vast Solar",,EOF23052471601,8.0000000000,5.09,USD,1.00000,,"USD",40.72,"USD",,,,,,,,
Market sell,2024-11-05 19:55:21.866,AU0000288284,VSTE,"Vast Solar",,EOF23052472585,50.0000000000,5.72,USD,1.00000,-0.23,"USD",286.00,"USD",,,,,,,,
Market buy,2024-11-05 19:57:05.594,AU0000288284,VSTE,"Vast Solar",,EOF23052472847,14.0000000000,6.20,USD,1.00000,,"USD",86.80,"USD",,,,,,,,
Market sell,2024-11-05 20:14:49.604,AU0000288284,VSTE,"Vast Solar",,EOF23052475221,25.0000000000,6.00,USD,1.00000,3.10,"USD",150.00,"USD",,,,,,,,
Market sell,2024-11-05 20:16:30.48,AU0000288284,VSTE,"Vast Solar",,EOF23052475333,19.0000000000,5.81,USD,1.00000,-1.25,"USD",110.39,"USD",,,,,,,,
Market buy,2024-11-05 20:41:35.167,AU0000288284,VSTE,"Vast Solar",,EOF23052477455,12.0000000000,5.80,USD,1.00000,,"USD",69.60,"USD",,,,,,,,
Market buy,2024-11-05 20:44:33.894,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052477883,5.0000000000,14.73,USD,1.00000,,"USD",73.65,"USD",,,,,,,,
Market sell,2024-11-05 20:55:09.267,US45784G2003,ZCAR,"Zoomcar Holdings",,EOF23052479066,5.0000000000,13.25,USD,1.00000,-7.40,"USD",66.25,"USD",,,,,,,,
Market buy,2024-11-05 22:06:11.432,KYG0447T1004,ARBB,"ARB IOT Group",,EOF23052482501,200.0000000000,1.24,USD,1.00000,,"USD",248.00,"USD",,,,,,,,
Interest on cash,2024-11-06 02:01:34.559,,,,"Interest on cash",f55f6592-8eb5-4b02-9f22-5abb44490748,,,,,,,0.11,"USD",,,,,,,,
Lending interest,2024-11-06 02:02:16.019,,,,"Share lending interest",7a980ec0-3b34-4c3c-a35a-349ef3154cce,,,,,,,0.38,"EUR",,,,,,,,
Limit buy,2024-11-06 09:05:11.574,US8523876048,STAF,"Staffing 360 Solutions",,EOF23054473241,22.0000000000,2.45,USD,1.00000,,"USD",53.90,"USD",,,,,,,,
Market buy,2024-11-06 09:05:30.155,AU0000288284,VSTE,"Vast Solar",,EOF23054473403,2.0000000000,1.73,USD,1.00000,,"USD",3.46,"USD",,,,,,,,
Market buy,2024-11-06 09:05:30.155,AU0000288284,VSTE,"Vast Solar",,EOF23054473404,10.0000000000,1.73,USD,1.00000,,"USD",17.30,"USD",,,,,,,,
Market buy,2024-11-06 09:05:56.244,AU0000288284,VSTE,"Vast Solar",,EOF23054473524,10.0000000000,1.88,USD,1.00000,,"USD",18.80,"USD",,,,,,,,
Limit sell,2024-11-06 12:27:19.555,AU0000288284,VSTE,"Vast Solar",,EOF23102007371,25.0000000000,3.96,USD,1.00000,18.74,"USD",99.00,"USD",,,,,,,,
Market buy,2024-11-06 13:16:08.246,KYG0447T1004,ARBB,"ARB IOT Group",,EOF23102013476,30.0000000000,0.88,USD,1.00000,,"USD",26.33,"USD",,,,,,,,
Market buy,2024-11-06 13:24:08.079,US3514713052,FOXO,"FOXO Technologies",,EOF23102014323,360.0000000000,0.31,USD,1.00000,,"USD",110.05,"USD",,,,,,,,
