Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-03-07 15:57:05.127,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",25.0000000000,1.73,USD,1.09268,,"EUR",39.71,"EUR",,,,EOF11350934801,,,,,0.06,"EUR"
Market buy,2024-03-07 15:58:18.264,XS2399367684,SMHS,"Leverage Shares -3x Short Semiconductors",150.0000000000,0.25,USD,1.09291,,"EUR",34.06,"EUR",,,,EOF11350935074,,,,,0.05,"EUR"
Market buy,2024-03-07 15:58:38.375,US5533681012,MP,"MP Materials",2.0000000000,15.54,USD,1.09282,,"EUR",28.48,"EUR",,,,EOF11350935124,,,,,0.04,"EUR"
Market buy,2024-03-07 15:58:57.857,CA67077M1086,NTR,"Nutrien",0.5000000000,53.69,USD,1.09303,,"EUR",24.60,"EUR",,,,EOF11350935200,,,,,0.04,"EUR"
Market buy,2024-03-07 15:59:32.836,US8334451098,SNOW,"Snowflake",0.2000000000,165.76,USD,1.09268,,"EUR",30.39,"EUR",,,,EOF11350935384,,,,,0.05,"EUR"
Market buy,2024-03-07 15:59:59.199,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",300.0000000000,0.10,USD,1.09307,,"EUR",27.76,"EUR",,,,EOF11350935506,,,,,0.04,"EUR"
Market buy,2024-03-07 16:00:23.253,IL0065100930,ZIM,"ZIM Integrated Shipping Services",2.0000000000,11.06,USD,1.09288,,"EUR",20.27,"EUR",,,,EOF11350935812,,,,,0.03,"EUR"
Market buy,2024-03-07 16:00:45.885,IE00B94QLN63,2PAL,"WisdomTree Palladium 2x Leveraged",3.0000000000,11.37,USD,1.09291,,"EUR",31.26,"EUR",,,,EOF11350935955,,,,,0.05,"EUR"
Market buy,2024-03-07 16:02:04.095,GB00B15KXX56,BULL,"WisdomTree Gold",1.0000000000,22.29,USD,1.09264,,"EUR",20.43,"EUR",,,,EOF11350936223,,,,,0.03,"EUR"
Market buy,2024-03-07 16:03:02.769,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",2.0000000000,2.42,USD,1.09295,,"EUR",4.44,"EUR",,,,EOF11350936575,,,,,0.01,"EUR"
Market sell,2024-03-07 19:19:24.885,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.2869874000,150.25,USD,1.09441,8.88,"EUR",39.34,"EUR",,,,EOF11351921074,,,,,0.06,"EUR"
Market buy,2024-03-07 19:20:08.109,US8334451098,SNOW,"Snowflake",0.2000000000,168.27,USD,1.09443,,"EUR",30.80,"EUR",,,,EOF11351921240,,,,,0.05,"EUR"
Interest on cash,2024-03-07 22:00:25.197,,,,,,,,,,0.01,"EUR",,,"Interest on cash",402da2bf-8ed0-4621-a3f2-c3a6952d0b04,,,,,,
Interest on cash,2024-03-07 22:00:25.245,,,,,,,,,,0.61,"USD",,,"Interest on cash",d36178e1-7472-4f49-a4bb-bd69b46b91bd,,,,,,
Lending interest,2024-03-08 01:14:08.112,,,,,,,,,,0.04,"EUR",,,"Share lending interest",d306ff60-fca3-4ad3-a56f-c81f412b7a83,,,,,,
Interest on cash,2024-03-08 22:00:23.962,,,,,,,,,,0.60,"USD",,,"Interest on cash",2ccd4738-1452-41ae-8301-5810f37ff162,,,,,,
Lending interest,2024-03-09 01:15:15.704,,,,,,,,,,0.04,"EUR",,,"Share lending interest",04854e14-cb47-4ba1-9f8b-7babe6b6d4bb,,,,,,
Interest on cash,2024-03-09 22:00:29.827,,,,,,,,,,0.01,"EUR",,,"Interest on cash",31a56512-638c-452a-977a-cdfd0cab7d14,,,,,,
Interest on cash,2024-03-09 22:00:29.883,,,,,,,,,,0.61,"USD",,,"Interest on cash",a869c805-855d-4440-bb47-fedd780bacb7,,,,,,
Interest on cash,2024-03-10 22:00:34.349,,,,,,,,,,0.01,"EUR",,,"Interest on cash",76b0b577-d1fa-47f3-a208-6c163f2cdc26,,,,,,
Interest on cash,2024-03-10 22:00:34.393,,,,,,,,,,0.60,"USD",,,"Interest on cash",53547763-54cb-43c8-9f97-83da22405a0d,,,,,,
Lending interest,2024-03-11 01:13:39.354,,,,,,,,,,0.10,"EUR",,,"Share lending interest",08e6af4f-5ee1-4dc5-af12-1b810d1d1edc,,,,,,
Dividend (Dividend),2024-03-11 14:13:14,US4592001014,IBM,"IBM",1.3074221000,1.41,USD,Not available,,,1.69,"EUR",0.33,USD,,,,,,,,
Interest on cash,2024-03-11 22:00:24.882,,,,,,,,,,0.61,"USD",,,"Interest on cash",3bc60c49-04c1-4c49-9a81-7a488268676e,,,,,,
Lending interest,2024-03-12 01:13:27.86,,,,,,,,,,0.04,"EUR",,,"Share lending interest",f655c9dd-c858-464a-b699-e16601287e57,,,,,,
Dividend (Dividend),2024-03-12 09:39:23,US88579Y1010,MMM,"3M",3.0000000000,1.28,USD,Not available,,,3.52,"EUR",0.68,USD,,,,,,,,
Interest on cash,2024-03-12 22:00:25.237,,,,,,,,,,0.01,"EUR",,,"Interest on cash",ac01cee3-30c9-4db5-b0f4-1f513710c616,,,,,,
Interest on cash,2024-03-12 22:00:25.284,,,,,,,,,,0.60,"USD",,,"Interest on cash",d3b123cc-d104-4df5-ac44-29f3e8a74804,,,,,,
Lending interest,2024-03-13 01:13:18.959,,,,,,,,,,0.05,"EUR",,,"Share lending interest",4576f91a-2c17-4807-be67-0ec88f92b5f0,,,,,,
Interest on cash,2024-03-13 22:00:36.062,,,,,,,,,,0.01,"EUR",,,"Interest on cash",db8a7ace-d53a-489f-8cdf-d056233e233e,,,,,,
Interest on cash,2024-03-13 22:00:36.3,,,,,,,,,,0.61,"USD",,,"Interest on cash",670efb5a-6114-42a1-8882-06bc40ce24a3,,,,,,
Lending interest,2024-03-14 01:13:33.832,,,,,,,,,,0.05,"EUR",,,"Share lending interest",e4773e1a-4238-40c4-bafd-924c5c76075b,,,,,,
Interest on cash,2024-03-14 22:00:33.395,,,,,,,,,,0.01,"EUR",,,"Interest on cash",cdff6b88-9083-4cc7-b095-9c1999e0f174,,,,,,
Interest on cash,2024-03-14 22:00:33.454,,,,,,,,,,0.60,"USD",,,"Interest on cash",31fc5415-f762-45dd-bdf5-7d870cc9f549,,,,,,
Lending interest,2024-03-15 01:13:16.139,,,,,,,,,,0.06,"EUR",,,"Share lending interest",a384e25b-cec0-4a66-ab50-19d91ad58320,,,,,,
Dividend (Dividend),2024-03-15 15:57:02,US4278661081,HSY,"Hershey",0.5720000000,1.16,USD,Not available,,,0.61,"EUR",0.12,USD,,,,,,,,
Interest on cash,2024-03-15 22:00:33.128,,,,,,,,,,0.61,"USD",,,"Interest on cash",f62a17ad-a7ab-4598-a1e1-a40c55634bc6,,,,,,
Lending interest,2024-03-16 01:13:47.564,,,,,,,,,,0.04,"EUR",,,"Share lending interest",04801461-71c7-4dec-9e25-0583bfb4f600,,,,,,
Interest on cash,2024-03-16 22:00:47.653,,,,,,,,,,0.01,"EUR",,,"Interest on cash",70b2d196-642c-42b3-be88-fb07c75468a5,,,,,,
Interest on cash,2024-03-16 22:00:47.745,,,,,,,,,,0.60,"USD",,,"Interest on cash",2f030572-b4d6-474d-8168-a0c6910dfadd,,,,,,
Interest on cash,2024-03-17 22:00:45.106,,,,,,,,,,0.01,"EUR",,,"Interest on cash",8cc9061b-1109-48da-8d44-517da9296520,,,,,,
Interest on cash,2024-03-17 22:00:45.318,,,,,,,,,,0.61,"USD",,,"Interest on cash",fd9fa92d-4b3b-4577-ac7b-2120a6c4a1b2,,,,,,
Lending interest,2024-03-18 01:14:49,,,,,,,,,,0.09,"EUR",,,"Share lending interest",eec571e0-f0f4-4717-8ef8-b5123906f031,,,,,,
Interest on cash,2024-03-18 22:00:42.576,,,,,,,,,,0.61,"USD",,,"Interest on cash",9c6e956e-6d53-4448-bf61-8e08b199b786,,,,,,
Lending interest,2024-03-19 01:13:21.289,,,,,,,,,,0.04,"EUR",,,"Share lending interest",6aa8e454-d4f1-41b3-b0c1-e95b84fa025f,,,,,,
Interest on cash,2024-03-19 22:00:42.993,,,,,,,,,,0.01,"EUR",,,"Interest on cash",3e2b4fc6-c3ab-4269-96b1-7f5e9408f269,,,,,,
Interest on cash,2024-03-19 22:00:43.059,,,,,,,,,,0.60,"USD",,,"Interest on cash",5c31222b-25b9-4f5c-a8d8-4eb5127ebeb6,,,,,,
Lending interest,2024-03-20 07:07:11.664,,,,,,,,,,0.06,"EUR",,,"Share lending interest",0c0a85c7-0143-490b-ba87-8f02d7c15143,,,,,,
