Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market buy,2021-09-13 07:05:14,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",0.1899700000,7.79,EUR,1.00000,,"EUR",1.48,"EUR",,,,,EOF1541423761,,,
Market buy,2021-09-13 13:33:26,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.0288693000,122.94,USD,1.17913,,"EUR",3.01,"EUR",,,,,EOF1541439414,,,
Market buy,2021-09-13 13:33:43,BMG162581083,BEP,"Brookfield Renewable Partners",1.6600450000,39.77,USD,1.17913,,"EUR",56.07,"EUR",,,,,EOF1541441723,0.08,"EUR",
Market buy,2021-09-13 13:33:57,CA1366351098,CSIQ,"Canadian Solar",0.1043450000,36.50,USD,1.17913,,"EUR",3.23,"EUR",,,,,EOF1541443984,,,
Market buy,2021-09-13 13:34:23,CA87971M1032,TU,"TELUS",0.9460500000,23.22,USD,1.17913,,"EUR",18.66,"EUR",,,,,EOF1541446186,0.03,"EUR",
Market buy,2021-09-13 13:34:31,US09075V1026,BNTX,"BioNTech",0.0643937000,341.14,USD,1.17913,,"EUR",18.66,"EUR",,,,,EOF1541447075,0.03,"EUR",
Deposit,2021-09-17 15:37:14,,,,,,,,,,300.00,"EUR",,,,"Transaction ID: 1829318930330323",947083f3-6973-4731-8cf9-12edfb4bb25f,,,
Market buy,2021-09-17 16:58:02,NL0015000F41,LILM,"Lilium",29.0000000000,11.49,USD,1.17244,,"EUR",284.63,"EUR",,,,,EOF1550627964,0.43,"EUR",
Market buy,2021-09-17 17:22:40,NL0015000F41,LILM,"Lilium",1.0000000000,11.04,USD,1.17197,,"EUR",9.43,"EUR",,,,,EOF1550629355,0.01,"EUR",
Deposit,2021-09-21 06:19:33,,,,,,,,,,10.00,"EUR",,,,,fe0025bc-8bb0-44d6-8a68-79b4925ef1f3,,,
Withdrawal,2021-09-21 06:19:50,,,,,,,,,,-15.94,"EUR",,,,,19d0ab52-cbde-4f8d-8a6c-7c05ab7be1a5,,,
Deposit,2021-10-07 06:54:58,,,,,,,,,,1000.00,"EUR",,,,"Bank Transfer",217b32a8-03cc-4e52-adc1-c45bd60457e7,,,
Withdrawal,2021-10-07 15:34:50,,,,,,,,,,-1000.00,"EUR",,,,,54058cf4-68b4-4a56-87c1-6a79bc671660,,,
Deposit,2021-10-07 15:48:54,,,,,,,,,,100.00,"EUR",,,,,569d1f7c-e899-4826-a885-8f15468b0a68,,,
Deposit,2021-10-07 22:04:05,,,,,,,,,,900.00,"EUR",,,,,daf2a5af-6482-4f6e-a1a4-89fbe38f816d,,,
Withdrawal,2021-10-08 13:29:06,,,,,,,,,,-900.00,"EUR",,,,,8702ca39-0e9b-48a1-82c4-f3dc3398d4b3,,,
Dividend (Ordinary),2021-10-15 09:53:18,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.1788693000,0.39,USD,Not available,,,0.06,"EUR",0.02,USD,,,,,,
