Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market sell,2021-01-15 14:19:33,XS2856106302,3LNF,"GraniteShares 3x Long Netflix",4.5000000000,5.02,USD,1.21092,-1.33,"EUR",18.67,"EUR",,,,,EOF835759221,,,
Market buy,2021-01-15 14:21:29,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",1.2500000000,40.99,EUR,1.00000,,"EUR",51.24,"EUR",,,,,EOF835759604,,,
Market buy,2021-01-15 14:31:13,US26853E1029,EH,"EHang",1.0000000000,48.89,USD,1.21104,,"EUR",40.37,"EUR",,,,,EOF835768733,,,
Market sell,2021-01-15 14:32:02,US26853E1029,EH,"EHang",1.0000000000,47.65,USD,1.21154,-1.04,"EUR",39.33,"EUR",,,,,EOF837032915,,,
Market sell,2021-01-15 14:32:50,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.1000000000,41.08,EUR,1.00000,0.09,"EUR",4.11,"EUR",,,,,EOF837040977,,,
Market buy,2021-01-15 14:33:11,US26853E1029,EH,"EHang",1.0000000000,49.20,USD,1.21122,,"EUR",40.62,"EUR",,,,,EOF837042020,,,
Market buy,2021-01-15 14:33:30,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.0500000000,41.12,EUR,1.00000,,"EUR",2.06,"EUR",,,,,EOF837042640,,,
Dividend (Ordinary),2021-01-19 09:12:25,CA98462Y1007,AUY,"Yamana Gold",13.5000000000,0.02,USD,Not available,,,0.25,"EUR",0.05,USD,,,,,,
Market sell,2021-01-25 15:16:41,XS2734938835,3LNV,"GraniteShares 3x Long NVIDIA",5.0000000000,11.90,USD,1.21230,1.71,"EUR",49.08,"EUR",,,,,EOF886137442,,,
Market buy,2021-01-25 15:17:10,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.4100000000,138.91,USD,1.21177,,"EUR",47.00,"EUR",,,,,EOF886138822,,,
Market sell,2021-01-25 15:17:53,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",8.0000000000,7.57,USD,1.21192,5.28,"EUR",49.97,"EUR",,,,,EOF886140373,,,
Market buy,2021-01-25 15:18:22,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.4300000000,138.30,USD,1.21170,,"EUR",49.08,"EUR",,,,,EOF886141241,,,
Deposit,2021-01-25 15:45:25,,,,,,,,,,17.11,"EUR",,,,,55d5e94a-858f-464c-b7e6-6d39ccba27e2,,,
Market buy,2021-01-25 15:46:14,CA09228F1036,BB,"BlackBerry",1.1500000000,20.49,USD,1.21211,,"EUR",19.44,"EUR",,,,,EOF887241062,,,
Market sell,2021-01-26 11:56:22,XS2734938835,3LNV,"GraniteShares 3x Long NVIDIA",7.0000000000,11.50,USD,1.21368,0.03,"EUR",66.35,"EUR",,,,,EOF892844064,,,
Market sell,2021-01-26 11:57:22,IE00B8JVMZ80,3HCL,"WisdomTree Copper 3x Leveraged",5.0000000000,20.50,USD,1.21387,4.44,"EUR",84.42,"EUR",,,,,EOF892844166,,,
Market buy,2021-01-26 11:58:11,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",3.3000000000,43.74,EUR,1.00000,,"EUR",144.34,"EUR",,,,,EOF892844216,,,
Market buy,2021-01-26 11:59:40,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.1600000000,43.74,EUR,1.00000,,"EUR",7.00,"EUR",,,,,EOF892844303,,,
Limit sell,2021-01-26 12:21:40,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",80.0000000000,3.33,USD,1.21466,-18.41,"EUR",219.32,"EUR",,,,,EOF892846619,,,
Market buy,2021-01-26 12:22:05,XS2662640627,3LMS,"GraniteShares 3x Long Microsoft",38.0000000000,6.70,USD,1.21431,,"EUR",209.79,"EUR",,,,,EOF892846661,,,
Limit sell,2021-01-26 12:24:06,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",18.0000000000,41.80,USD,1.21462,-23.40,"EUR",619.45,"EUR",,,,,EOF892846819,,,
Market buy,2021-01-26 12:24:39,XS2662640627,3LMS,"GraniteShares 3x Long Microsoft",80.0000000000,6.72,USD,1.21432,,"EUR",442.45,"EUR",,,,,EOF892846899,,,
Market buy,2021-01-26 12:25:52,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",4.0000000000,44.24,EUR,1.00000,,"EUR",176.96,"EUR",,,,,EOF892847026,,,
Market buy,2021-01-26 12:26:38,XS2662640627,3LMS,"GraniteShares 3x Long Microsoft",1.7000000000,6.72,USD,1.21420,,"EUR",9.41,"EUR",,,,,EOF892847100,,,
Market sell,2021-01-26 20:59:21,US69608A1088,PLTR,"Palantir",4.4800000000,35.46,USD,1.21695,39.58,"EUR",130.54,"EUR",,,,,EOF901138715,,,
Market buy,2021-01-26 20:59:45,US36467W1099,GME,"GameStop",1.0000000000,145.00,USD,1.21644,,"EUR",119.20,"EUR",,,,,EOF901139975,,,
Market buy,2021-01-27 09:36:55,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.1000000000,138.10,USD,1.21246,,"EUR",11.39,"EUR",,,,,EOF901170187,,,
Market sell,2021-01-27 12:37:11,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",3.0000000000,40.81,USD,1.21181,-6.11,"EUR",101.03,"EUR",,,,,EOF901843868,,,
Market sell,2021-01-27 12:37:19,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",40.0000000000,3.23,USD,1.21187,-12.39,"EUR",106.48,"EUR",,,,,EOF901843897,,,
Market buy,2021-01-27 12:38:35,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",1.8000000000,131.76,USD,1.21141,,"EUR",195.78,"EUR",,,,,EOF901844033,,,
Market buy,2021-01-27 12:39:41,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.1000000000,131.34,USD,1.21164,,"EUR",10.84,"EUR",,,,,EOF901844184,,,
Market sell,2021-01-27 12:45:06,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",2.3500000000,20.78,EUR,1.00000,5.91,"EUR",48.82,"EUR",,,,,EOF901844858,,,
Market buy,2021-01-27 12:45:47,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.1700000000,129.20,USD,1.21075,,"EUR",18.14,"EUR",,,,,EOF901844949,,,
Market sell,2021-01-27 12:58:31,IE00B8JVMZ80,3HCL,"WisdomTree Copper 3x Leveraged",1.0000000000,19.99,USD,1.21078,0.52,"EUR",16.51,"EUR",,,,,EOF901846392,,,
Market sell,2021-01-27 13:03:05,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",20.0000000000,7.52,USD,1.21082,12.45,"EUR",124.18,"EUR",,,,,EOF901847006,,,
Market buy,2021-01-27 13:21:22,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",4.0000000000,40.65,EUR,1.00000,,"EUR",162.60,"EUR",,,,,EOF901849787,,,
Market buy,2021-01-27 13:22:05,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.2400000000,40.76,EUR,1.00000,,"EUR",9.78,"EUR",,,,,EOF901849869,,,
Market sell,2021-01-27 13:57:27,CA89788C1041,TCNNF,"Trulieve Cannabis",1.0000000000,42.11,USD,1.21144,-4.47,"EUR",34.76,"EUR",,,,,EOF901857508,,,
Market sell,2021-01-27 14:28:21,XS2662640627,3LMS,"GraniteShares 3x Long Microsoft",30.0000000000,7.26,USD,1.21071,13.94,"EUR",179.77,"EUR",,,,,EOF901867548,,,
Market sell,2021-01-27 14:28:44,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",3.0000000000,40.81,EUR,1.00000,-5.09,"EUR",122.43,"EUR",,,,,EOF901867808,,,
Market sell,2021-01-27 14:30:02,CA98462Y1007,AUY,"Yamana Gold",13.5000000000,4.83,USD,1.21063,-16.73,"EUR",53.86,"EUR",,,,,EOF901868985,,,
Market buy,2021-01-27 14:33:21,US36467W1099,GME,"GameStop",0.5000000000,300.00,USD,1.20909,,"EUR",124.06,"EUR",,,,,EOF903395946,,,
Market sell,2021-01-27 14:33:47,US26853E1029,EH,"EHang",1.0000000000,80.99,USD,1.20916,26.36,"EUR",66.98,"EUR",,,,,EOF903397443,,,
Market sell,2021-01-27 14:36:10,XS2662640627,3LMS,"GraniteShares 3x Long Microsoft",89.7000000000,6.89,USD,1.20876,15.10,"EUR",510.92,"EUR",,,,,EOF903403919,,,
Market sell,2021-01-27 14:41:02,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",10.1700000000,37.72,EUR,1.00000,-48.68,"EUR",383.61,"EUR",,,,,EOF903415974,,,
Market sell,2021-01-27 14:55:34,CA09228F1036,BB,"BlackBerry",1.1500000000,21.31,USD,1.20721,0.86,"EUR",20.30,"EUR",,,,,EOF904586359,,,
Market buy,2021-01-27 14:56:01,US36467W1099,GME,"GameStop",1.0000000000,275.00,USD,1.20682,,"EUR",227.87,"EUR",,,,,EOF904586998,,,
Market buy,2021-01-27 15:13:21,US36467W1099,GME,"GameStop",1.0000000000,251.48,USD,1.20735,,"EUR",208.29,"EUR",,,,,EOF904600126,,,
Market buy,2021-01-27 15:28:15,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.1000000000,135.00,USD,1.20643,,"EUR",11.19,"EUR",,,,,EOF904608195,,,
Market buy,2021-01-27 15:37:39,US36467W1099,GME,"GameStop",0.5000000000,286.90,USD,1.20820,,"EUR",118.73,"EUR",,,,,EOF904611419,,,
Market buy,2021-01-27 16:17:00,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",4.0000000000,137.00,USD,1.20915,,"EUR",453.21,"EUR",,,,,EOF905771644,,,
Market buy,2021-01-27 16:17:32,US00165C3025,AMC,"AMC Entertainment",16.0000000000,16.15,USD,1.20917,,"EUR",213.70,"EUR",,,,,EOF905772827,,,
Market buy,2021-01-27 16:18:25,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.1300000000,136.46,USD,1.20929,,"EUR",14.67,"EUR",,,,,EOF905774807,,,
Market sell,2021-01-27 18:28:31,US00165C3025,AMC,"AMC Entertainment",16.0000000000,15.92,USD,1.21156,-3.46,"EUR",210.24,"EUR",,,,,EOF909263902,,,
Market buy,2021-01-27 18:30:26,US69608A1088,PLTR,"Palantir",6.1000000000,39.78,USD,1.21104,,"EUR",200.37,"EUR",,,,,EOF909265694,,,
Market buy,2021-01-27 19:05:32,US83406F1021,SOFI,"SoFi Technologies",0.7000000000,18.52,USD,1.21158,,"EUR",10.70,"EUR",,,,,EOF910451141,,,
Market sell,2021-01-27 19:55:08,US69608A1088,PLTR,"Palantir",6.1000000000,41.41,USD,1.21012,8.37,"EUR",208.74,"EUR",,,,,EOF911854942,,,
Market buy,2021-01-27 19:56:04,US36467W1099,GME,"GameStop",0.7400000000,321.00,USD,1.20965,,"EUR",196.37,"EUR",,,,,EOF911856393,,,
Market sell,2021-01-27 19:57:01,US83406F1021,SOFI,"SoFi Technologies",0.7000000000,18.13,USD,1.21097,-0.22,"EUR",10.48,"EUR",,,,,EOF911857684,,,
Market buy,2021-01-27 19:58:45,CA09228F1036,BB,"BlackBerry",1.0000000000,26.49,USD,1.21014,,"EUR",21.89,"EUR",,,,,EOF911859938,,,
Market sell,2021-01-27 20:28:49,CA09228F1036,BB,"BlackBerry",1.0000000000,25.11,USD,1.21012,-1.14,"EUR",20.75,"EUR",,,,,EOF913440300,,,
Market buy,2021-01-27 20:29:32,CA4433003064,HEOFF,"H2O Innovation",9.0000000000,2.64,USD,1.20977,,"EUR",19.64,"EUR",,,,,EOF913440760,,,
Market buy,2021-01-27 20:29:59,CA4433003064,HEOFF,"H2O Innovation",1.0000000000,2.64,USD,1.21100,,"EUR",2.18,"EUR",,,,,EOF913441018,,,
Market sell,2021-01-28 08:11:43,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",9.3300000000,100.03,USD,1.21068,-173.30,"EUR",770.86,"EUR",,,,,EOF916550073,,,
Market buy,2021-01-28 08:15:21,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",3.0000000000,102.85,USD,1.21023,,"EUR",254.94,"EUR",,,,,EOF916550803,,,
Market buy,2021-01-28 08:24:18,DE0007472060,WDI,"Wirecard",40.0000000000,0.54,EUR,1.00000,,"EUR",21.60,"EUR",,,,,EOF916552832,,,
Market buy,2021-01-28 15:55:51,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",4.8000000000,116.00,USD,1.21222,,"EUR",459.32,"EUR",,,,,EOF923076287,,,
Market buy,2021-01-28 15:56:10,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.3500000000,116.00,USD,1.21230,,"EUR",33.49,"EUR",,,,,EOF923076972,,,
Market sell,2021-01-29 10:02:18,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",8.1500000000,105.26,USD,1.21134,-39.54,"EUR",708.21,"EUR",,,,,EOF929430048,,,
Market buy,2021-01-29 10:03:03,US36467W1099,GS2C,"GameStop",1.9000000000,345.85,EUR,1.00000,,"EUR",657.12,"EUR",,,,,EOF929430121,,,
Withdrawal,2021-02-01 05:09:30,,,,,,,,,,-53.09,"EUR",,,,,057d17f2-fa2b-4aa9-9edb-f17a44d73f44,,,
Deposit,2021-02-01 05:10:21,,,,,,,,,,53.09,"EUR",,,,,6d5e6d1d-dc63-4404-80bd-f3ee6e27c9fd,,,
Market buy,2021-02-01 08:35:40,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",5.0000000000,3.53,USD,1.21119,,"EUR",14.56,"EUR",,,,,EOF942197346,,,
Limit buy,2021-02-01 08:37:56,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",12.0000000000,3.39,USD,1.21107,,"EUR",33.59,"EUR",,,,,EOF942197569,,,
Limit buy,2021-02-01 08:42:02,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",1.0000000000,3.33,USD,1.21090,,"EUR",2.75,"EUR",,,,,EOF942198041,,,
Market buy,2021-02-01 10:23:23,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",0.7000000000,3.59,USD,1.20817,,"EUR",2.08,"EUR",,,,,EOF942212930,,,
Market sell,2021-02-02 12:43:32,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",18.7000000000,4.40,USD,1.20354,15.40,"EUR",68.38,"EUR",,,,,EOF954464423,,,
Market sell,2021-02-02 12:45:59,US36467W1099,GS2C,"GameStop",0.5300000000,123.02,EUR,1.00000,-118.10,"EUR",65.20,"EUR",,,,,EOF954464812,,,
Market buy,2021-02-02 12:46:57,US36467W1099,GS2C,"GameStop",1.0000000000,123.08,EUR,1.00000,,"EUR",123.08,"EUR",,,,,EOF954464906,,,
Market sell,2021-02-02 12:48:09,US36467W1099,GS2C,"GameStop",0.1000000000,123.02,EUR,1.00000,-12.89,"EUR",12.30,"EUR",,,,,EOF954464997,,,
Market buy,2021-02-02 12:48:34,US36467W1099,GS2C,"GameStop",0.1750000000,123.94,EUR,1.00000,,"EUR",21.69,"EUR",,,,,EOF954465023,,,
Deposit,2021-02-02 15:55:43,,,,,,,,,,125.00,"EUR",,,,"Transaction ID: 1729122813422962",85d3bf02-c633-4d5a-98d9-52cd03cbd9d8,,,
Market buy,2021-02-02 15:55:59,US36467W1099,GME,"GameStop",1.5000000000,87.81,USD,1.20232,,"EUR",109.55,"EUR",,,,,EOF960603124,,,
Market buy,2021-02-02 15:56:31,US36467W1099,GS2C,"GameStop",0.2100000000,74.99,EUR,1.00000,,"EUR",15.75,"EUR",,,,,EOF960604052,,,
Deposit,2021-02-02 15:57:32,,,,,,,,,,100.00,"EUR",,,,"Transaction ID: 1349122814523099",b1d699a6-fe55-4033-aa09-61b466dc7fd1,,,
Market buy,2021-02-02 15:57:48,US36467W1099,GME,"GameStop",1.0000000000,92.35,USD,1.20263,,"EUR",76.79,"EUR",,,,,EOF960606419,,,
Market buy,2021-02-02 15:58:04,US36467W1099,GS2C,"GameStop",0.3000000000,75.99,EUR,1.00000,,"EUR",22.80,"EUR",,,,,EOF960606755,,,
