Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,French transaction tax,Currency (French transaction tax)
Market buy,2020-11-03 16:21:49,XS2722161424,3LAP,"GraniteShares 3x Long Apple",8.0000000000,7.50,USD,1.17318,,"EUR",51.17,"EUR",,,,,,EOF522235261,,
Market buy,2020-11-03 16:22:38,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",1.2500000000,19.31,USD,1.17355,,"EUR",20.57,"EUR",,,,,,EOF522239069,,
Deposit,2020-11-03 16:25:53,,,,,,,,,,100.00,"EUR",,,,,"Transaction ID: 1536044207529314",d0aefea0-3c5d-4a4c-a4d0-61ed3226f124,,
Market buy,2020-11-03 16:26:53,XS2712624779,3LAZ,"GraniteShares 3x Long AstraZeneca",8.0000000000,475.11,GBX,89.77042,,"EUR",42.34,"EUR",,,,,,EOF522256734,,
Market buy,2020-11-03 16:27:18,XS2734938835,3LNV,"GraniteShares 3x Long NVIDIA",5.6000000000,11.08,USD,1.17292,,"EUR",52.91,"EUR",,,,,,EOF522258088,,
Deposit,2020-11-03 16:56:05,,,,,,,,,,50.00,"EUR",,,,,"Transaction ID: 1739044225645154",a1eb51db-f23a-4c7c-be69-214a031e04c0,,
Market buy,2020-11-04 08:03:38,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",1.7000000000,32.68,EUR,1.00000,,"EUR",55.56,"EUR",,,,,,EOF523084755,,
Dividend (Return of capital non us),2020-11-04 15:56:16,US5391831030,LVGO,"Livongo",1.3350000000,7.09,USD,Not available,,,8.09,"EUR",0.00,USD,,,,,,
Market buy,2020-11-04 15:56:55,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.4500000000,19.37,USD,1.17024,,"EUR",7.45,"EUR",,,,,,EOF524577794,,
Deposit,2020-11-04 19:09:05,,,,,,,,,,25.00,"EUR",,,,,"Transaction ID: 1346045169448609",1bd347cc-e809-4fdf-b57b-37d813b68719,,
Deposit,2020-11-04 19:09:29,,,,,,,,,,25.00,"EUR",,,,,"Transaction ID: 4836045169692314",667a7a04-265c-4a9e-b9bc-767d850b89db,,
Market buy,2020-11-05 08:00:31,US3682872078,OGZD,"Gazprom",0.5000000000,4.12,USD,1.17685,,"EUR",1.75,"EUR",,,,,,EOF525713809,,
Market buy,2020-11-05 08:04:26,XS2856106302,3LNF,"GraniteShares 3x Long Netflix",10.5000000000,5.67,USD,1.17433,,"EUR",50.67,"EUR",,,,,,EOF525756228,,
Market sell,2020-11-05 08:06:22,XS2856106302,3LNF,"GraniteShares 3x Long Netflix",1.0000000000,5.60,USD,1.17358,-0.06,"EUR",4.77,"EUR",,,,,,EOF525766288,,
Market buy,2020-11-05 08:09:34,DE000PAH0038,PAH3,"Porsche Automobil Holding",0.0700000000,50.10,EUR,1.00000,,"EUR",3.51,"EUR",,,,,,EOF525780611,,
