Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market sell,2022-12-16 15:39:50,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.5617114000,96.66,USD,1.06190,-27.94,"EUR",51.05,"EUR",,,,,,,,EOF2177960359,0.08,"EUR"
Market buy,2022-12-16 15:40:12,US5949181045,MSFT,"Microsoft",0.2200000000,245.51,USD,1.06156,,"EUR",50.96,"EUR",,,,,,,,EOF2177960628,0.08,"EUR"
Market sell,2022-12-16 15:40:34,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",172.6388039000,1.29,USD,1.06176,-46.59,"EUR",210.08,"EUR",,,,,,,,EOF2177960678,0.32,"EUR"
Market buy,2022-12-16 15:42:01,GB00B15KY328,SLVR,"WisdomTree Silver",11.0000000000,20.22,USD,1.06146,,"EUR",209.85,"EUR",,,,,,,,EOF2177960861,0.31,"EUR"
Market sell,2022-12-16 15:42:27,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",5.0890000000,51.98,USD,1.06179,-9.43,"EUR",248.76,"EUR",,,,,,,,EOF2177960916,0.37,"EUR"
Market sell,2022-12-16 15:42:28,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",1.6237692500,51.99,USD,1.06188,-3.00,"EUR",79.38,"EUR",,,,,,,,EOF2177960919,0.12,"EUR"
Market buy,2022-12-16 15:43:23,GB00B15KXX56,BULL,"WisdomTree Gold",16.9026680000,18.97,USD,1.06138,,"EUR",302.47,"EUR",,,,,,,,EOF2177961030,0.45,"EUR"
Market buy,2022-12-16 15:43:24,GB00B15KXX56,BULL,"WisdomTree Gold",1.0973320000,18.97,USD,1.06123,,"EUR",19.64,"EUR",,,,,,,,EOF2177961033,0.03,"EUR"
Market sell,2022-12-16 15:43:27,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.8705088700,76.61,USD,1.06143,4.78,"EUR",62.74,"EUR",,,,,,,,EOF2177961044,0.09,"EUR"
Market buy,2022-12-16 15:44:07,GB00B15KY211,NICK,"WisdomTree Nickel",2.1000000000,26.89,USD,1.06104,,"EUR",53.30,"EUR",,,,,,,,EOF2177961124,0.08,"EUR"
Market sell,2022-12-16 15:45:03,JE00BDD9QC84,LWEA,"WisdomTree Wheat 2x Leveraged",6.9118078000,15.12,USD,1.06159,-42.70,"EUR",98.26,"EUR",,,,,,,,EOF2177961234,0.15,"EUR"
Market buy,2022-12-16 15:45:30,JE00BN7KB664,WEAT,"WisdomTree Wheat",140.0000000000,0.74,USD,1.06173,,"EUR",97.99,"EUR",,,,,,,,EOF2177961279,0.15,"EUR"
Market sell,2022-12-16 15:45:39,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",43.4120148000,2.25,USD,1.06185,-26.81,"EUR",91.97,"EUR",,,,,,,,EOF2177961299,0.14,"EUR"
Market buy,2022-12-16 15:46:23,JE00B1VS2W53,PHPT,"WisdomTree Physical Platinum",1.1000000000,92.18,USD,1.06131,,"EUR",95.68,"EUR",,,,,,,,EOF2177961371,0.14,"EUR"
Market buy,2022-12-16 15:47:04,GB00B15KXN58,ALUM,"WisdomTree Aluminium",8.0000000000,3.30,USD,1.06076,,"EUR",24.89,"EUR",,,,,,,,EOF2177961450,0.04,"EUR"
Market sell,2022-12-16 15:47:08,JE00B2NFTC05,LALU,"WisdomTree Aluminium 2x Leveraged",11.3107896000,2.47,USD,1.06103,-11.19,"EUR",26.28,"EUR",,,,,,,,EOF2177961459,0.04,"EUR"
Market sell,2022-12-16 15:47:41,JE00B2NFTG43,LCOR,"WisdomTree Corn 2x Leveraged",20.3471829000,3.26,USD,1.06130,-16.36,"EUR",62.41,"EUR",,,,,,,,EOF2177961519,0.09,"EUR"
Market buy,2022-12-16 15:48:02,JE00BN7KB441,CORN,"WisdomTree Corn",51.0000000000,1.29,USD,1.06143,,"EUR",62.12,"EUR",,,,,,,,EOF2177961568,0.09,"EUR"
Market sell,2022-12-16 15:48:15,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",2.1596631000,7.56,USD,1.06157,-3.79,"EUR",15.36,"EUR",,,,,,,,EOF2177961596,0.02,"EUR"
Market buy,2022-12-16 15:48:31,GB00B15KXQ89,COPA,"WisdomTree Copper",0.5000000000,33.21,USD,1.06170,,"EUR",15.66,"EUR",,,,,,,,EOF2177961618,0.02,"EUR"
Market sell,2022-12-16 15:49:15,JE00B2NFT427,LAGR,"WisdomTree Agriculture 2x Leveraged",22.1310000000,10.66,USD,1.06158,-45.90,"EUR",221.90,"EUR",,,,,,,,EOF2177961678,0.33,"EUR"
Market sell,2022-12-16 15:49:21,JE00B2NFT427,LAGR,"WisdomTree Agriculture 2x Leveraged",14.3577725400,10.67,USD,1.06167,-29.71,"EUR",144.01,"EUR",,,,,,,,EOF2177961685,0.22,"EUR"
Market buy,2022-12-16 15:49:31,GB00B15KYH63,AIGA,"WisdomTree Agriculture",60.0000000000,6.52,USD,1.06169,,"EUR",369.16,"EUR",,,,,,,,EOF2177961697,0.55,"EUR"
Dividend (Ordinary),2022-12-16 16:23:21,US61945C1036,MOS,"Mosaic",1.6593540000,0.13,USD,Not available,,,0.20,"EUR",0.04,USD,,,,,,,,
Market buy,2022-12-16 17:21:00,CA1130041058,BAM,"Brookfield Asset Management",2.0000000000,27.22,USD,1.06141,,"EUR",51.37,"EUR",,,,,,,,EOF2177976773,0.08,"EUR"
Market buy,2022-12-16 17:21:20,BMG162521014,BIP,"Brookfield Infrastructure Partners",1.0000000000,31.90,USD,1.06156,,"EUR",30.10,"EUR",,,,,,,,EOF2177976791,0.05,"EUR"
Market buy,2022-12-16 17:22:05,CA1130041058,BAM,"Brookfield Asset Management",1.0000000000,27.22,USD,1.06120,,"EUR",25.69,"EUR",,,,,,,,EOF2177976830,0.04,"EUR"
Market sell,2022-12-19 13:48:00,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",12.0000000000,7.71,USD,1.06088,-19.28,"EUR",87.08,"EUR",,,,,,,,EOF2178918442,0.13,"EUR"
Market buy,2022-12-19 13:48:23,GB00B15KXQ89,COPA,"WisdomTree Copper",2.7000000000,33.55,USD,1.06059,,"EUR",85.54,"EUR",,,,,,,,EOF2178918451,0.13,"EUR"
Dividend (Ordinary),2022-12-19 15:42:22,CA13321L1085,CCJ,"Cameco",5.5132430000,0.07,USD,Not available,,,0.39,"EUR",0.07,USD,,,,,,,,
Market buy,2022-12-19 18:53:03,US88160R1014,TSLA,"Tesla",0.1000000000,150.71,USD,1.06133,,"EUR",14.22,"EUR",,,,,,,,EOF2179967779,0.02,"EUR"
Market buy,2022-12-20 16:30:28,US88160R1014,TSLA,"Tesla",0.1500000000,142.44,USD,1.06245,,"EUR",20.14,"EUR",,,,,,,,EOF2180976281,0.03,"EUR"
Market buy,2022-12-21 16:24:36,US88160R1014,TSLA,"Tesla",0.1000000000,138.26,USD,1.06108,,"EUR",13.05,"EUR",,,,,,,,EOF2181986549,0.02,"EUR"
Market buy,2022-12-22 15:11:30,US00165C3025,AMC,"AMC Entertainment",10.0000000000,4.55,USD,1.05986,,"EUR",42.99,"EUR",,,,,,,,EOF2183038574,0.06,"EUR"
Market buy,2022-12-22 15:11:47,US00165C3025,AMC,"AMC Entertainment",2.5000000000,4.58,USD,1.06018,,"EUR",10.82,"EUR",,,,,,,,EOF2183038615,0.02,"EUR"
Market buy,2022-12-22 16:19:38,US88160R1014,TSLA,"Tesla",0.1200000000,128.70,USD,1.05925,,"EUR",14.60,"EUR",,,,,,,,EOF2183048106,0.02,"EUR"
Market buy,2022-12-22 19:02:00,US88160R1014,TSLA,"Tesla",0.0600000000,125.17,USD,1.05777,,"EUR",7.11,"EUR",,,,,,,,EOF2184010952,0.01,"EUR"
Market buy,2022-12-22 19:02:31,US8317541063,SWBI,"Smith & Wesson Brands",2.6000000000,8.47,USD,1.05773,,"EUR",20.85,"EUR",,,,,,,,EOF2184011004,0.03,"EUR"
Limit buy,2022-12-23 08:00:50,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",20.0000000000,2.37,USD,1.06241,,"EUR",44.61,"EUR",,,,,,,,EOF2184024507,0.07,"EUR"
Market buy,2022-12-23 08:34:36,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",2.0000000000,2.36,USD,1.05932,,"EUR",4.46,"EUR",,,,,,,,EOF2184028830,0.01,"EUR"
